MPG City,MPG Highway,Horsepower,Weight (000 lbs),Torque Foot Pounds,Displacement CI,Fuel Capacity,Seating (Standard),Cylinders,Transmission Speeds,Transmission (Automatic/Manual),Height,Length,Wheelbase,Width,Track (Front),Track (Rear),Base Price MSRP,Weight,Curb Weight AT,Model,Model Year
15,20,200,5.245,250,262,31,8,6,4,A,81.6,224.1,135,79.4,67.8,67.8,25045,5245,5245,2004 GMC Savana Passenger Van G1500 Regular Wheelbase RWD Current,2004
22,28,120,3.002,140,134,18,3,4,5,M,62,190,108.3,67.9,54.4,54.6,14770,3002,3020,2003 GMC Truck Sonoma Regular Cab SL Short Box 2WD Current,2003
32,38,115,2.403,110,102,13.2,5,4,5,M,55.1,174.7,103.1,66.7,57.9,57.9,12810,2403,,2003 Honda Civic Coupe DX 5-spd MT Current,2003
61,68,67,1.847,66,61,10.6,2,3,5,M,53.3,155.1,94.5,66.7,56.5,52.2,19080,1847,,2003 Honda Insight 5-spd MT Current,2003
26,34,160,2.994,161,144,17.1,5,4,5,M,55.7,187.6,105.1,71.3,61.1,61.2,19300,2994,,2003 Honda Accord Coupe LX 5-spd MT Current,2003
20,26,240,2.81,153,122,13.2,2,4,6,M,50.6,162.2,94.5,68.9,57.9,59.4,32600,2810,,2003 Honda S2000 6-spd MT Current,2003
21,26,160,3.33,161,144,15.9,4,4,5,M,74,169.3,101.4,71.5,62.1,62.3,16100,3330,,2003 Honda Element DX 2WD 5-spd MT Current,2003
23,28,160,3.201,162,144,15.3,5,4,4,A,66.2,178.6,103.1,70.2,60.4,60.6,18900,3201,3201,2003 Honda CR-V LX 2WD 4-spd AT Current,2003
17,22,240,4.416,242,212,19.2,8,6,5,A,70.6,188,106.3,76.3,66.3,66.5,26900,4416,4416,2003 Honda Pilot LX 5-spd AT Current,2003
18,25,240,4.299,242,212,20,7,6,5,A,68.5,201.2,118.1,75.6,66.1,66.1,24400,4299,4299,2003 Honda Odyssey LX 5-spd AT Current,2003
,,316,6.4,360,364,32,5,8,4,A,77.8,189.8,122.8,81.2,69.4,69.4,48455,6400,6400,2003 HUMMER H2 Sport Utility Current,2003
29,33,104,2.255,106,98,11.9,5,4,5,M,54.9,166.7,96.1,65.7,56.5,56.1,9999,2255,,2003 Hyundai Accent 3-door Current,2003
24,33,135,2.6665,132,121,14.5,5,4,5,M,56.1,177.1,102.7,67.7,58.5,58.1,12899,2666.5,2698,2003 Hyundai Elantra GLS Current,2003
23,31,134,2.9685,132,121,14.5,4,4,5,M,52.3,173,99.6,69.3,58.7,58.7,16249,2968.5,2997,2003 Hyundai Tiburon Base Current,2003
22,30,138,3.199,147,143,17.2,5,4,5,M,56,186.9,106.3,71.7,60.6,60.2,15499,3199,3217,2003 Hyundai Sonata Sedan Current,2003
20,27,138,3.534,147,143,17.2,5,4,5,M,66,177.2,103.1,72.7,60.7,60.7,17549,3534,3574,2003 Hyundai Santa Fe Base Current,2003
17,26,194,3.651,216,211,18.5,5,6,5,A,55.9,191.5,108.3,71.9,60.6,60.2,23999,3651,3651,2003 Hyundai XG 350 Sedan Current,2003
19,26,260,3.336,260,213,20,5,6,5,A,57.7,186.5,112.2,69,59.4,59.6,27800,3336,3336,2003 Infiniti G35 Sport Sedan Current,2003
20,26,255,3.306,246,213,18.5,5,6,4,A,57,193.7,108.3,70.2,60.2,59.4,29100,3306,3306,2003 Infiniti I35 Luxury Current,2003
17,23,340,3.851,333,274,21.1,5,8,5,A,57.6,197.2,110.2,69.7,59.4,59.4,42300,3851,3851,2003 Infiniti M45 Sedan Current,2003
