year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,OO,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",212.00,70.00,36.00,20.00,2.00,0.00,12.00,8.00,0.00,4315.00,2175.00,1314.00,238.00,0.00,588.00
2021,12,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3870.00,1122.00,706.00,162.00,20.00,2.00,232.00,184.00,5.00,100702.00,57335.00,19713.00,3767.00,52.00,19835.00
2021,12,OO,SkyWest Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",16.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field",54.00,5.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,238.00,238.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LBL,"Liberal, KS: Liberal Mid-America Regional",54.00,2.00,2.00,0.00,0.00,0.00,0.00,6.00,0.00,92.00,92.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LCH,"Lake Charles, LA: Lake Charles Regional",14.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LEX,"Lexington, KY: Blue Grass",48.00,7.00,5.00,1.00,1.00,0.00,0.00,2.00,0.00,350.00,150.00,132.00,68.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",32.00,3.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,164.00,121.00,0.00,0.00,0.00,43.00
2021,12,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",151.00,25.00,20.00,0.00,2.00,0.00,3.00,4.00,0.00,1255.00,1000.00,0.00,159.00,0.00,96.00
2021,12,OO,SkyWest Airlines Inc.,LGB,"Long Beach, CA: Long Beach Airport",152.00,32.00,17.00,12.00,0.00,0.00,3.00,3.00,2.00,2585.00,1024.00,1436.00,0.00,0.00,125.00
2021,12,OO,SkyWest Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",64.00,14.00,7.00,2.00,0.00,0.00,5.00,2.00,1.00,630.00,292.00,86.00,0.00,0.00,252.00
2021,12,OO,SkyWest Airlines Inc.,LNK,"Lincoln, NE: Lincoln Airport",100.00,23.00,19.00,3.00,1.00,0.00,0.00,4.00,0.00,2525.00,2126.00,362.00,37.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LSE,"La Crosse, WI: La Crosse Regional",93.00,21.00,14.00,7.00,0.00,0.00,0.00,6.00,1.00,1200.00,712.00,488.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LWB,"Lewisburg, WV: Greenbrier Valley",41.00,3.00,2.00,0.00,0.00,0.00,1.00,2.00,0.00,322.00,91.00,0.00,0.00,0.00,231.00
2021,12,OO,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",93.00,16.00,9.00,7.00,0.00,0.00,0.00,1.00,2.00,1021.00,471.00,550.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",177.00,20.00,16.00,2.00,0.00,0.00,2.00,7.00,0.00,1670.00,1158.00,418.00,0.00,0.00,94.00
2021,12,OO,SkyWest Airlines Inc.,MBS,"Saginaw/Bay City/Midland, MI: MBS International",31.00,4.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,971.00,926.00,0.00,0.00,0.00,45.00
2021,12,OO,SkyWest Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",272.00,51.00,37.00,7.00,0.00,0.00,7.00,11.00,0.00,3855.00,2899.00,395.00,0.00,0.00,561.00
2021,12,OO,SkyWest Airlines Inc.,MCW,"Mason City, IA: Mason City Municipal",54.00,9.00,7.00,0.00,0.00,0.00,2.00,5.00,0.00,2982.00,2408.00,0.00,0.00,0.00,574.00
2021,12,OO,SkyWest Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International",64.00,10.00,7.00,0.00,0.00,0.00,3.00,1.00,0.00,512.00,416.00,0.00,0.00,0.00,96.00
2021,12,OO,SkyWest Airlines Inc.,MEI,"Meridian, MS: Key Field",54.00,3.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,273.00,273.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,MEM,"Memphis, TN: Memphis International",439.00,113.00,84.00,11.00,0.00,0.00,18.00,15.00,0.00,7746.00,4846.00,702.00,0.00,0.00,2198.00
2021,12,OO,SkyWest Airlines Inc.,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",29.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,124.00,124.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,MFR,"Medford, OR: Rogue Valley International - Medford",378.00,93.00,59.00,12.00,0.00,0.00,22.00,25.00,3.00,8315.00,4050.00,1971.00,0.00,0.00,2294.00
2021,12,OO,SkyWest Airlines Inc.,MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",59.00,9.00,2.00,0.00,0.00,0.00,7.00,0.00,0.00,598.00,63.00,0.00,0.00,0.00,535.00
2021,12,OO,SkyWest Airlines Inc.,MHT,"Manchester, NH: Manchester-Boston Regional",16.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,152.00,0.00,0.00,0.00,0.00,152.00
2021,12,OO,SkyWest Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",320.00,81.00,59.00,10.00,1.00,1.00,10.00,11.00,0.00,5058.00,3245.00,847.00,54.00,15.00,897.00
2021,12,OO,SkyWest Airlines Inc.,MKG,"Muskegon, MI: Muskegon County",58.00,9.00,9.00,0.00,0.00,0.00,0.00,1.00,0.00,401.00,401.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,MLI,"Moline, IL: Quad City International",34.00,4.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,125.00,76.00,0.00,0.00,0.00,49.00
2021,12,OO,SkyWest Airlines Inc.,MOT,"Minot, ND: Minot International",130.00,30.00,26.00,3.00,0.00,0.00,1.00,6.00,2.00,2557.00,1597.00,750.00,0.00,0.00,210.00
2021,12,OO,SkyWest Airlines Inc.,MQT,"Marquette, MI: Sawyer International",80.00,24.00,17.00,7.00,0.00,0.00,0.00,11.00,1.00,2734.00,1342.00,1392.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,MRY,"Monterey, CA: Monterey Regional",95.00,23.00,21.00,0.00,0.00,0.00,2.00,6.00,1.00,2298.00,2010.00,0.00,0.00,0.00,288.00
2021,12,OO,SkyWest Airlines Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",243.00,49.00,26.00,8.00,1.00,0.00,14.00,15.00,1.00,4102.00,2204.00,550.00,93.00,0.00,1255.00
2021,12,OO,SkyWest Airlines Inc.,MSO,"Missoula, MT: Missoula International",117.00,25.00,14.00,11.00,0.00,0.00,0.00,5.00,3.00,1965.00,531.00,1434.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",3178.00,698.00,503.00,185.00,0.00,5.00,5.00,206.00,3.00,76994.00,55450.00,21067.00,0.00,184.00,293.00
2021,12,OO,SkyWest Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",32.00,6.00,5.00,0.00,0.00,0.00,1.00,2.00,0.00,435.00,340.00,0.00,0.00,0.00,95.00
2021,12,OO,SkyWest Airlines Inc.,MTJ,"Montrose/Delta, CO: Montrose Regional",113.00,25.00,21.00,0.00,0.00,0.00,4.00,6.00,1.00,1251.00,1082.00,0.00,0.00,0.00,169.00
2021,12,OO,SkyWest Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",192.00,63.00,32.00,28.00,0.00,0.00,3.00,5.00,0.00,4797.00,2495.00,2103.00,0.00,0.00,199.00
2021,12,OO,SkyWest Airlines Inc.,OGS,"Ogdensburg, NY: Ogdensburg International",51.00,11.00,10.00,0.00,0.00,0.00,1.00,5.00,1.00,744.00,693.00,0.00,0.00,0.00,51.00
2021,12,OO,SkyWest Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",535.00,115.00,71.00,9.00,3.00,0.00,32.00,14.00,0.00,7843.00,4322.00,904.00,269.00,0.00,2348.00
2021,12,OO,SkyWest Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",442.00,101.00,78.00,21.00,0.00,0.00,2.00,15.00,0.00,7391.00,5982.00,1297.00,0.00,0.00,112.00
2021,12,OO,SkyWest Airlines Inc.,ONT,"Ontario, CA: Ontario International",299.00,71.00,46.00,11.00,0.00,0.00,14.00,18.00,1.00,5239.00,2991.00,1497.00,0.00,0.00,751.00
2021,12,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5855.00,999.00,631.00,30.00,26.00,0.00,312.00,238.00,9.00,100895.00,57002.00,5372.00,4907.00,0.00,33614.00
2021,12,OO,SkyWest Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",102.00,24.00,19.00,3.00,0.00,0.00,2.00,2.00,1.00,3585.00,3275.00,165.00,0.00,0.00,145.00
2021,12,OO,SkyWest Airlines Inc.,OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional",23.00,9.00,7.00,1.00,0.00,0.00,1.00,1.00,1.00,700.00,531.00,108.00,0.00,0.00,61.00
2021,12,OO,SkyWest Airlines Inc.,PAH,"Paducah, KY: Barkley Regional",62.00,8.00,7.00,0.00,0.00,0.00,1.00,3.00,0.00,507.00,418.00,0.00,0.00,0.00,89.00
2021,12,OO,SkyWest Airlines Inc.,PBG,"Plattsburgh, NY: Plattsburgh International",51.00,7.00,5.00,0.00,0.00,0.00,2.00,5.00,0.00,1216.00,285.00,0.00,0.00,0.00,931.00
2021,12,OO,SkyWest Airlines Inc.,PDX,"Portland, OR: Portland International",845.00,267.00,92.00,46.00,1.00,1.00,127.00,25.00,12.00,18978.00,5641.00,3602.00,143.00,22.00,9570.00
2021,12,OO,SkyWest Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",75.00,18.00,13.00,4.00,1.00,0.00,0.00,3.00,0.00,1048.00,823.00,191.00,34.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1642.00,360.00,141.00,36.00,1.00,0.00,182.00,46.00,0.00,30670.00,12912.00,2781.00,106.00,0.00,14871.00
2021,12,OO,SkyWest Airlines Inc.,PIA,"Peoria, IL: General Downing - Peoria International",7.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,672.00,672.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",54.00,7.00,7.00,0.00,0.00,0.00,0.00,9.00,0.00,946.00,946.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,PIH,"Pocatello, ID: Pocatello Regional",31.00,7.00,5.00,2.00,0.00,0.00,0.00,2.00,0.00,857.00,568.00,289.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,PIR,"Pierre, SD: Pierre Regional",31.00,4.00,4.00,0.00,0.00,0.00,0.00,1.00,2.00,257.00,257.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",261.00,50.00,32.00,12.00,1.00,0.00,5.00,8.00,0.00,3784.00,2354.00,1046.00,29.00,0.00,355.00
2021,12,OO,SkyWest Airlines Inc.,PLN,"Pellston, MI: Pellston Regional Airport of Emmet County",54.00,13.00,7.00,6.00,0.00,0.00,0.00,6.00,0.00,1812.00,477.00,1335.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field",62.00,17.00,14.00,0.00,0.00,0.00,3.00,0.00,1.00,1124.00,1006.00,0.00,0.00,0.00,118.00
2021,12,OO,SkyWest Airlines Inc.,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",302.00,80.00,58.00,18.00,0.00,0.00,4.00,19.00,0.00,6343.00,4100.00,2034.00,0.00,0.00,209.00
2021,12,OO,SkyWest Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",639.00,157.00,85.00,19.00,4.00,0.00,49.00,5.00,6.00,10993.00,4967.00,2168.00,198.00,0.00,3660.00
2021,12,OO,SkyWest Airlines Inc.,PUB,"Pueblo, CO: Pueblo Memorial",50.00,5.00,4.00,0.00,0.00,0.00,1.00,3.00,0.00,375.00,164.00,0.00,0.00,0.00,211.00
2021,12,OO,SkyWest Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",130.00,21.00,10.00,5.00,0.00,0.00,6.00,5.00,0.00,2230.00,574.00,269.00,0.00,0.00,1387.00
2021,12,OO,SkyWest Airlines Inc.,PWM,"Portland, ME: Portland International Jetport",17.00,4.00,3.00,1.00,0.00,0.00,0.00,0.00,1.00,253.00,180.00,73.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,RAP,"Rapid City, SD: Rapid City Regional",226.00,57.00,42.00,11.00,0.00,0.00,4.00,7.00,0.00,4130.00,2549.00,1109.00,0.00,0.00,472.00
2021,12,OO,SkyWest Airlines Inc.,RDD,"Redding, CA: Redding Municipal",122.00,36.00,31.00,1.00,1.00,0.00,3.00,3.00,1.00,1954.00,1457.00,77.00,76.00,0.00,344.00
2021,12,OO,SkyWest Airlines Inc.,RDM,"Bend/Redmond, OR: Roberts Field",354.00,72.00,47.00,5.00,2.00,0.00,18.00,20.00,0.00,5898.00,3963.00,677.00,65.00,0.00,1193.00
2021,12,OO,SkyWest Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",19.00,5.00,2.00,0.00,0.00,0.00,3.00,1.00,1.00,193.00,117.00,0.00,0.00,0.00,76.00
2021,12,OO,SkyWest Airlines Inc.,RHI,"Rhinelander, WI: Rhinelander/Oneida County",62.00,13.00,8.00,5.00,0.00,0.00,0.00,4.00,0.00,1260.00,593.00,667.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,RIC,"Richmond, VA: Richmond International",114.00,36.00,27.00,2.00,0.00,0.00,7.00,2.00,0.00,3103.00,2067.00,318.00,0.00,0.00,718.00
